data,lançamentos,valor (R$),saldo (R$)
2025-02-11,PAY SUPERMERCADO,-118.76,37665.83
2025-02-12,SALARIO RECEBIDO,5000.0,42665.83
2025-02-13,PIX TRANSF,-84.07,42581.76
2025-02-14,PAY ESTAC,-173.45,42408.310000000005
2025-02-15,PAY POSTO COMBUSTIVEL,-87.46,42320.850000000006
2025-02-16,SALARIO RECEBIDO,5000.0,47320.850000000006
2025-02-17,PAY ESTAC,-24.22,47296.630000000005
2025-02-18,SALARIO RECEBIDO,5000.0,52296.630000000005
2025-02-19,PAY POSTO COMBUSTIVEL,-169.82,52126.810000000005
2025-02-20,PAY ESTAC,-88.14,52038.670000000006
2025-02-21,PAY SUPERMERCADO,-164.99,51873.68000000001
2025-02-22,SALARIO RECEBIDO,5000.0,56873.68000000001
2025-02-23,PAY SUPERMERCADO,-117.37,56756.310000000005
2025-02-24,SALARIO RECEBIDO,5000.0,61756.310000000005
2025-02-25,PAY ESTAC,-48.07,61708.240000000005
2025-02-26,PAY SUPERMERCADO,-137.64,61570.600000000006
2025-02-27,PIX TRANSF,-114.45,61456.15000000001
2025-02-28,PAY POSTO COMBUSTIVEL,-94.71,61361.44000000001
2025-03-01,PAY POSTO COMBUSTIVEL,-12.62,61348.82000000001
2025-03-02,PAY FARMA,-30.03,61318.79000000001
2025-03-03,SALARIO RECEBIDO,5000.0,66318.79000000001
2025-03-04,PIX TRANSF,-59.32,66259.47
2025-03-05,PIX TRANSF,-81.81,66177.66
2025-03-06,SALARIO RECEBIDO,5000.0,71177.66
2025-03-07,PAY ESTAC,-178.07,70999.59
2025-03-08,SALARIO RECEBIDO,5000.0,75999.59
2025-03-09,PAY FARMA,-132.75,75866.84
2025-03-10,PIX TRANSF,-193.86,75672.98
2025-03-11,PAY FARMA,-84.41,75588.56999999999
2025-03-12,PAY ESTAC,-60.66,75527.90999999999
2025-03-13,PIX TRANSF,-30.29,75497.62
2025-03-14,PAY SUPERMERCADO,-22.48,75475.14
2025-03-15,PAY POSTO COMBUSTIVEL,-15.58,75459.56
2025-03-16,PAY FARMA,-48.41,75411.15
2025-03-17,PAY FARMA,-24.06,75387.09
2025-03-18,PAY POSTO COMBUSTIVEL,-70.86,75316.23
2025-03-19,SALARIO RECEBIDO,5000.0,80316.23
2025-03-20,PIX TRANSF,-63.24,80252.98999999999
2025-03-21,PAY ESTAC,-62.16,80190.82999999999
2025-03-22,SALARIO RECEBIDO,5000.0,85190.82999999999
2025-03-23,PAY FARMA,-61.53,85129.29999999999
2025-03-24,PIX TRANSF,-93.09,85036.20999999999
2025-03-25,PAY FARMA,-88.7,84947.51
2025-03-26,PIX TRANSF,-84.84,84862.67
2025-03-27,PAY FARMA,-91.89,84770.78
2025-03-28,PAY POSTO COMBUSTIVEL,-175.19,84595.59
2025-03-29,PIX TRANSF,-136.39,84459.2
2025-03-30,PAY POSTO COMBUSTIVEL,-180.57,84278.62999999999
2025-03-31,PAY FARMA,-116.32,84162.30999999998
2025-04-01,PIX TRANSF,-79.55,84082.75999999998
2025-04-02,PAY POSTO COMBUSTIVEL,-156.85,83925.90999999997
2025-04-03,PAY SUPERMERCADO,-153.34,83772.56999999998
2025-04-04,PAY SUPERMERCADO,-93.39,83679.17999999998
2025-04-05,PAY SUPERMERCADO,-34.09,83645.08999999998
2025-04-06,PAY FARMA,-113.85,83531.23999999998
2025-04-07,SALARIO RECEBIDO,5000.0,88531.23999999998
2025-04-08,PAY SUPERMERCADO,-35.61,88495.62999999998
2025-04-09,PAY SUPERMERCADO,-140.15,88355.47999999998
2025-04-10,PAY SUPERMERCADO,-126.27,88229.20999999998
2025-04-11,SALARIO RECEBIDO,5000.0,93229.20999999998
2025-04-12,PAY ESTAC,-93.89,93135.31999999998
2025-04-13,PAY ESTAC,-127.64,93007.67999999998
2025-04-14,PAY POSTO COMBUSTIVEL,-35.42,92972.25999999998
2025-04-15,SALARIO RECEBIDO,5000.0,97972.25999999998
2025-04-16,PAY POSTO COMBUSTIVEL,-134.8,97837.45999999998
2025-04-17,PAY POSTO COMBUSTIVEL,-133.65,97703.80999999998
2025-04-18,PAY POSTO COMBUSTIVEL,-92.44,97611.36999999998
2025-04-19,SALARIO RECEBIDO,5000.0,102611.36999999998
2025-04-20,PAY POSTO COMBUSTIVEL,-127.06,102484.30999999998
2025-04-21,PIX TRANSF,-41.25,102443.05999999998
2025-04-22,PIX TRANSF,-152.55,102290.50999999998
2025-04-23,PAY ESTAC,-105.1,102185.40999999997
2025-04-24,PIX TRANSF,-163.21,102022.19999999997
2025-04-25,PAY FARMA,-97.3,101924.89999999997
2025-04-26,PAY FARMA,-61.28,101863.61999999997
2025-04-27,PAY ESTAC,-90.9,101772.71999999997
2025-04-28,PIX TRANSF,-92.4,101680.31999999998
2025-04-29,PAY ESTAC,-20.21,101660.10999999997
2025-04-30,PAY SUPERMERCADO,-47.45,101612.65999999997
2025-05-01,PAY POSTO COMBUSTIVEL,-145.77,101466.88999999997
2025-05-02,PAY POSTO COMBUSTIVEL,-52.54,101414.34999999998
2025-05-03,PAY POSTO COMBUSTIVEL,-170.44,101243.90999999997
2025-05-04,PAY SUPERMERCADO,-18.39,101225.51999999997
2025-05-05,PAY SUPERMERCADO,-177.03,101048.48999999998
2025-05-06,PAY POSTO COMBUSTIVEL,-67.03,100981.45999999998
2025-05-07,PAY POSTO COMBUSTIVEL,-25.07,100956.38999999997
2025-05-08,PAY ESTAC,-198.89,100757.49999999997
2025-05-09,PAY SUPERMERCADO,-147.76,100609.73999999998
2025-05-10,PAY FARMA,-67.84,100541.89999999998
2025-05-11,PAY FARMA,-28.78,100513.11999999998
2025-05-12,PAY ESTAC,-132.1,100381.01999999997
2025-05-13,PAY FARMA,-107.28,100273.73999999998
2025-05-14,PAY POSTO COMBUSTIVEL,-55.88,100217.85999999997
2025-05-15,PIX TRANSF,-139.43,100078.42999999998
2025-05-16,SALARIO RECEBIDO,5000.0,105078.42999999998
2025-05-17,PAY POSTO COMBUSTIVEL,-187.06,104891.36999999998
2025-05-18,PIX TRANSF,-13.92,104877.44999999998
2025-05-19,PAY FARMA,-172.25,104705.19999999998
2025-05-20,PIX TRANSF,-13.88,104691.31999999998
2025-05-21,PIX TRANSF,-82.12,104609.19999999998
2025-05-22,PAY FARMA,-97.91,104511.28999999998
2025-05-23,PAY SUPERMERCADO,-107.5,104403.78999999998
2025-05-24,SALARIO RECEBIDO,5000.0,109403.78999999998
2025-05-25,PAY FARMA,-36.2,109367.58999999998
2025-05-26,PAY ESTAC,-198.65,109168.93999999999
2025-05-27,PAY POSTO COMBUSTIVEL,-105.04,109063.9
2025-05-28,SALARIO RECEBIDO,5000.0,114063.9
2025-05-29,PIX TRANSF,-43.04,114020.86
2025-05-30,SALARIO RECEBIDO,5000.0,119020.86
2025-05-31,PAY ESTAC,-94.58,118926.28
2025-06-01,SALARIO RECEBIDO,5000.0,123926.28
2025-06-02,PAY FARMA,-125.82,123800.45999999999
2025-06-03,PAY POSTO COMBUSTIVEL,-150.55,123649.90999999999
2025-06-04,PAY FARMA,-128.56,123521.34999999999
2025-06-05,PAY SUPERMERCADO,-186.1,123335.24999999999
2025-06-06,SALARIO RECEBIDO,5000.0,128335.24999999999
2025-06-07,SALARIO RECEBIDO,5000.0,133335.25
2025-06-08,PAY FARMA,-108.94,133226.31
2025-06-09,PAY FARMA,-192.97,133033.34
2025-06-10,PAY ESTAC,-92.54,132940.8
2025-06-11,PAY ESTAC,-167.3,132773.5
2025-06-12,PIX TRANSF,-137.12,132636.38
2025-06-13,PAY FARMA,-153.79,132482.59
2025-06-14,PAY FARMA,-19.75,132462.84
2025-06-15,SALARIO RECEBIDO,5000.0,137462.84
2025-06-16,PAY POSTO COMBUSTIVEL,-17.75,137445.09
2025-06-17,PAY POSTO COMBUSTIVEL,-55.25,137389.84
2025-06-18,PAY POSTO COMBUSTIVEL,-12.46,137377.38
2025-06-19,PAY SUPERMERCADO,-10.4,137366.98
2025-06-20,PAY FARMA,-35.81,137331.17
2025-06-21,SALARIO RECEBIDO,5000.0,142331.17
2025-06-22,PAY SUPERMERCADO,-128.8,142202.37000000002
2025-06-23,PIX TRANSF,-116.52,142085.85000000003
2025-06-24,PIX TRANSF,-39.9,142045.95000000004
2025-06-25,PAY POSTO COMBUSTIVEL,-137.34,141908.61000000004
2025-06-26,PAY ESTAC,-189.98,141718.63000000003
2025-06-27,PAY SUPERMERCADO,-31.26,141687.37000000002
2025-06-28,PAY FARMA,-22.72,141664.65000000002
2025-06-29,SALARIO RECEBIDO,5000.0,146664.65000000002
2025-06-30,PAY POSTO COMBUSTIVEL,-171.81,146492.84000000003
2025-07-01,PAY POSTO COMBUSTIVEL,-88.33,146404.51000000004
2025-07-02,PAY SUPERMERCADO,-194.22,146210.29000000004
2025-07-03,PAY ESTAC,-112.44,146097.85000000003
2025-07-04,PAY POSTO COMBUSTIVEL,-173.35,145924.50000000003
2025-07-05,SALARIO RECEBIDO,5000.0,150924.50000000003
2025-07-06,SALARIO RECEBIDO,5000.0,155924.50000000003
2025-07-07,SALARIO RECEBIDO,5000.0,160924.50000000003
2025-07-08,PAY SUPERMERCADO,-90.6,160833.90000000002
2025-07-09,PAY FARMA,-137.87,160696.03000000003
2025-07-10,PAY POSTO COMBUSTIVEL,-111.09,160584.94000000003
2025-07-11,PAY POSTO COMBUSTIVEL,-173.57,160411.37000000002
2025-07-12,PAY FARMA,-199.27,160212.10000000003
2025-07-13,PIX TRANSF,-84.34,160127.76000000004
2025-07-14,PAY ESTAC,-61.0,160066.76000000004
2025-07-15,PAY SUPERMERCADO,-70.56,159996.20000000004
2025-07-16,PAY POSTO COMBUSTIVEL,-129.38,159866.82000000004
2025-07-17,SALARIO RECEBIDO,5000.0,164866.82000000004
2025-07-18,PIX TRANSF,-41.89,164824.93000000002
2025-07-19,PIX TRANSF,-198.31,164626.62000000002
2025-07-20,PAY SUPERMERCADO,-64.46,164562.16000000003
2025-07-21,PAY POSTO COMBUSTIVEL,-193.76,164368.40000000002
2025-07-22,PAY SUPERMERCADO,-89.24,164279.16000000003
2025-07-23,PAY ESTAC,-58.41,164220.75000000003
2025-07-24,PIX TRANSF,-176.24,164044.51000000004
2025-07-25,PAY POSTO COMBUSTIVEL,-84.48,163960.03000000003
2025-07-26,PAY FARMA,-97.04,163862.99000000002
2025-07-27,PAY ESTAC,-117.95,163745.04
2025-07-28,PAY FARMA,-55.75,163689.29
2025-07-29,PAY FARMA,-60.51,163628.78
2025-07-30,SALARIO RECEBIDO,5000.0,168628.78
2025-07-31,PAY FARMA,-36.32,168592.46
2025-08-01,PAY SUPERMERCADO,-116.36,168476.1
2025-08-02,PAY FARMA,-116.04,168360.06
2025-08-03,PAY SUPERMERCADO,-74.19,168285.87
2025-08-04,PAY ESTAC,-132.6,168153.27
2025-08-05,PAY SUPERMERCADO,-177.96,167975.31
2025-08-06,PAY ESTAC,-144.52,167830.79
2025-08-07,PAY POSTO COMBUSTIVEL,-187.3,167643.49000000002
2025-08-08,PIX TRANSF,-39.21,167604.28000000003
2025-08-09,PAY FARMA,-44.04,167560.24000000002
2025-08-10,PAY SUPERMERCADO,-139.92,167420.32
2025-08-11,PAY POSTO COMBUSTIVEL,-27.17,167393.15
2025-08-12,PIX TRANSF,-168.92,167224.22999999998
2025-08-13,PAY POSTO COMBUSTIVEL,-77.53,167146.69999999998
2025-08-14,PAY ESTAC,-58.1,167088.59999999998
2025-08-15,PAY ESTAC,-101.17,166987.42999999996
2025-08-16,PAY SUPERMERCADO,-127.43,166859.99999999997
2025-08-17,PAY SUPERMERCADO,-30.12,166829.87999999998
2025-08-18,SALARIO RECEBIDO,5000.0,171829.87999999998
2025-08-19,PAY POSTO COMBUSTIVEL,-144.48,171685.39999999997
2025-08-20,PAY FARMA,-154.22,171531.17999999996
2025-08-21,PIX TRANSF,-159.72,171371.45999999996
2025-08-22,SALARIO RECEBIDO,5000.0,176371.45999999996
2025-08-23,PAY SUPERMERCADO,-154.93,176216.52999999997
2025-08-24,PIX TRANSF,-20.01,176196.51999999996
2025-08-25,SALARIO RECEBIDO,5000.0,181196.51999999996
2025-08-26,PIX TRANSF,-116.46,181080.05999999997
2025-08-27,PAY ESTAC,-113.49,180966.56999999998
2025-08-28,PAY SUPERMERCADO,-192.93,180773.63999999998
2025-08-29,PAY ESTAC,-38.59,180735.05
2025-08-30,PAY SUPERMERCADO,-188.73,180546.31999999998
2025-08-31,PAY ESTAC,-88.24,180458.08
2025-09-01,PAY SUPERMERCADO,-54.87,180403.21
2025-09-02,PAY POSTO COMBUSTIVEL,-48.07,180355.13999999998
2025-09-03,SALARIO RECEBIDO,5000.0,185355.13999999998
2025-09-04,PAY SUPERMERCADO,-69.29,185285.84999999998
2025-09-05,PAY ESTAC,-50.13,185235.71999999997
2025-09-06,PAY POSTO COMBUSTIVEL,-19.57,185216.14999999997
2025-09-07,PAY ESTAC,-163.46,185052.68999999997
2025-09-08,PIX TRANSF,-139.4,184913.28999999998
2025-09-09,SALARIO RECEBIDO,5000.0,189913.28999999998
2025-09-10,SALARIO RECEBIDO,5000.0,194913.28999999998
2025-09-11,PAY POSTO COMBUSTIVEL,-58.1,194855.18999999997
2025-09-12,SALARIO RECEBIDO,5000.0,199855.18999999997
2025-09-13,SALARIO RECEBIDO,5000.0,204855.18999999997
2025-09-14,PAY SUPERMERCADO,-40.25,204814.93999999997
2025-09-15,PAY POSTO COMBUSTIVEL,-102.79,204712.14999999997
2025-09-16,PIX TRANSF,-123.49,204588.65999999997
2025-09-17,PAY FARMA,-20.09,204568.56999999998
2025-09-18,PAY POSTO COMBUSTIVEL,-10.56,204558.00999999998
2025-09-19,PAY ESTAC,-42.54,204515.46999999997
2025-09-20,PAY FARMA,-167.53,204347.93999999997
2025-09-21,PAY ESTAC,-13.38,204334.55999999997
2025-09-22,PAY FARMA,-183.05,204151.50999999998
2025-09-23,PAY SUPERMERCADO,-75.35,204076.15999999997
2025-09-24,PAY SUPERMERCADO,-104.65,203971.50999999998
2025-09-25,PAY FARMA,-127.5,203844.00999999998
2025-09-26,PIX TRANSF,-192.39,203651.61999999997
2025-09-27,PAY POSTO COMBUSTIVEL,-157.64,203493.97999999995
2025-09-28,PAY FARMA,-171.58,203322.39999999997
2025-09-29,PAY POSTO COMBUSTIVEL,-187.88,203134.51999999996
2025-09-30,PAY SUPERMERCADO,-154.85,202979.66999999995
2025-10-01,PAY ESTAC,-117.03,202862.63999999996
2025-10-02,PIX TRANSF,-167.35,202695.28999999995
2025-10-03,PAY POSTO COMBUSTIVEL,-46.12,202649.16999999995
2025-10-04,PAY POSTO COMBUSTIVEL,-104.5,202544.66999999995
2025-10-05,PAY ESTAC,-134.32,202410.34999999995
2025-10-06,PAY POSTO COMBUSTIVEL,-48.38,202361.96999999994
2025-10-07,PAY ESTAC,-99.52,202262.44999999995
2025-10-08,PAY ESTAC,-10.83,202251.61999999997
2025-10-09,PAY ESTAC,-196.72,202054.89999999997
2025-10-10,PIX TRANSF,-198.21,201856.68999999997
2025-10-11,PAY POSTO COMBUSTIVEL,-191.92,201664.76999999996
2025-10-12,PAY POSTO COMBUSTIVEL,-131.74,201533.02999999997
2025-10-13,PAY FARMA,-37.17,201495.85999999996
2025-10-14,PAY ESTAC,-162.13,201333.72999999995
2025-10-15,PAY FARMA,-103.89,201229.83999999994
2025-10-16,PIX TRANSF,-39.94,201189.89999999994
2025-10-17,PAY SUPERMERCADO,-41.7,201148.19999999992
2025-10-18,PAY FARMA,-127.44,201020.75999999992
2025-10-19,SALARIO RECEBIDO,5000.0,206020.75999999992
2025-10-20,SALARIO RECEBIDO,5000.0,211020.75999999992
2025-10-21,PAY ESTAC,-191.31,210829.44999999992
2025-10-22,PAY ESTAC,-136.42,210693.0299999999
2025-10-23,PIX TRANSF,-93.16,210599.8699999999
2025-10-24,PAY FARMA,-52.67,210547.1999999999
2025-10-25,PAY POSTO COMBUSTIVEL,-63.3,210483.8999999999
2025-10-26,PAY FARMA,-179.62,210304.2799999999
2025-10-27,PAY ESTAC,-174.26,210130.0199999999
2025-10-28,SALARIO RECEBIDO,5000.0,215130.0199999999
2025-10-29,SALARIO RECEBIDO,5000.0,220130.0199999999
2025-10-30,PAY SUPERMERCADO,-27.57,220102.4499999999
2025-10-31,PAY FARMA,-75.28,220027.1699999999
2025-11-01,PAY ESTAC,-170.72,219856.4499999999
2025-11-02,PAY FARMA,-126.95,219729.49999999988
2025-11-03,PAY FARMA,-124.08,219605.4199999999
2025-11-04,PAY SUPERMERCADO,-32.31,219573.1099999999
2025-11-05,SALARIO RECEBIDO,5000.0,224573.1099999999
2025-11-06,SALARIO RECEBIDO,5000.0,229573.1099999999
2025-11-07,PAY ESTAC,-116.37,229456.7399999999
2025-11-08,PAY FARMA,-48.38,229408.3599999999
2025-11-09,PAY FARMA,-139.33,229269.0299999999
2025-11-10,PAY SUPERMERCADO,-112.18,229156.84999999992
2025-11-11,SALARIO RECEBIDO,5000.0,234156.84999999992
2025-11-12,PAY SUPERMERCADO,-106.19,234050.65999999992
2025-11-13,PAY POSTO COMBUSTIVEL,-98.93,233951.72999999992
2025-11-14,PAY ESTAC,-173.87,233777.85999999993
2025-11-15,SALARIO RECEBIDO,5000.0,238777.85999999993
2025-11-16,PIX TRANSF,-167.55,238610.30999999994
2025-11-17,SALARIO RECEBIDO,5000.0,243610.30999999994
2025-11-18,PAY POSTO COMBUSTIVEL,-160.78,243449.52999999994
2025-11-19,PAY ESTAC,-125.62,243323.90999999995
2025-11-20,PAY ESTAC,-73.45,243250.45999999993
2025-11-21,PIX TRANSF,-160.51,243089.94999999992
2025-11-22,PAY FARMA,-141.17,242948.7799999999
2025-11-23,SALARIO RECEBIDO,5000.0,247948.7799999999
2025-11-24,SALARIO RECEBIDO,5000.0,252948.7799999999
2025-11-25,PIX TRANSF,-41.37,252907.40999999992
2025-11-26,SALARIO RECEBIDO,5000.0,257907.40999999992
2025-11-27,PAY ESTAC,-106.76,257800.6499999999
2025-11-28,PAY SUPERMERCADO,-41.49,257759.15999999992
2025-11-29,SALARIO RECEBIDO,5000.0,262759.1599999999
2025-11-30,PAY ESTAC,-185.27,262573.8899999999
2025-12-01,PAY POSTO COMBUSTIVEL,-36.82,262537.06999999995
2025-12-02,PAY SUPERMERCADO,-105.88,262431.18999999994
2025-12-03,PAY FARMA,-195.91,262235.2799999999
2025-12-04,PAY POSTO COMBUSTIVEL,-105.43,262129.84999999992
2025-12-05,PAY ESTAC,-122.65,262007.19999999992
2025-12-06,PAY ESTAC,-187.21,261819.98999999993
2025-12-07,PAY SUPERMERCADO,-148.65,261671.33999999994
2025-12-08,PIX TRANSF,-44.78,261626.55999999994
2025-12-09,PAY ESTAC,-142.17,261484.38999999993
2025-12-10,PAY ESTAC,-186.15,261298.23999999993
2025-12-11,PIX TRANSF,-23.05,261275.18999999994
2025-12-12,PIX TRANSF,-126.59,261148.59999999995
2025-12-13,PAY POSTO COMBUSTIVEL,-81.15,261067.44999999995
2025-12-14,PAY POSTO COMBUSTIVEL,-198.63,260868.81999999995
2025-12-15,PIX TRANSF,-14.65,260854.16999999995
2025-12-16,PIX TRANSF,-57.3,260796.86999999997
2025-12-17,PAY POSTO COMBUSTIVEL,-107.46,260689.40999999997
2025-12-18,PAY SUPERMERCADO,-117.48,260571.92999999996
2025-12-19,PAY POSTO COMBUSTIVEL,-79.49,260492.43999999997
2025-12-20,PAY SUPERMERCADO,-147.37,260345.06999999998
2025-12-21,PAY FARMA,-111.29,260233.77999999997
2025-12-22,SALARIO RECEBIDO,5000.0,265233.77999999997
2025-12-23,PAY FARMA,-38.79,265194.99
2025-12-24,PAY FARMA,-104.19,265090.8
2025-12-25,PAY ESTAC,-190.38,264900.42
2025-12-26,PAY FARMA,-95.41,264805.01
2025-12-27,PAY ESTAC,-84.46,264720.55
2025-12-28,SALARIO RECEBIDO,5000.0,269720.55
2025-12-29,PAY ESTAC,-117.11,269603.44
2025-12-30,SALARIO RECEBIDO,5000.0,274603.44
2025-12-31,PIX TRANSF,-140.94,274462.5
